% Device,11E101660
% File name,11E101660_20110922_130712
% Cast time (UTC),2011-09-22 13:07:12
% Cast time (local),2011-09-22 10:07:12
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,-22.9287626
% Start longitude,-43.1438954
% Start altitude,-3.4000000953674316
% Start GPS horizontal error(Meter),2,90000009536743
% Start GPS vertical error(Meter),10,539999961853
% Start GPS number of satellites,9
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),242.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-06-02
% Temperature calibration date,2011-06-02
% Pressure calibration date,2011-06-01
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
16.650000000000002,16.59072122454636,17.691380546531661,46129.607898306378,54026.840204929904,35.459198137696376,1515.6834794766448,1025.7739722878694
16.95,16.889514533929496,17.692055826185168,46136.469614542235,54034.021929490256,35.464408437529137,1515.6963897480412,1025.7791194439321
17.25,17.18830790681465,17.69228463489895,46127.067806796687,54022.721202755645,35.455988609880627,1515.6924503733915,1025.7739272073809
17.55,17.487101926045373,17.696317266706984,46132.517999546835,54024.00131066957,35.457050727654916,1515.7105015238815,1025.7750724720174
17.85,17.785894768320588,17.691507527959981,46135.090836205505,54033.10108689675,35.463352863753769,1515.7085319500316,1025.7823993088359
18.150000000000002,18.08468753795632,17.686314297322188,46116.306006551684,54017.6714313382,35.451577797995249,1515.6848262562014,1025.775962153398
18.45,18.383480029227403,17.68288227825294,46122.921504923477,54029.764443090629,35.460162818688872,1515.6895069745408,1025.784701560206
18.75,18.682270703294503,17.672302296619844,46112.675248825559,54031.154598000481,35.460452132228831,1515.6637070881288,1025.7888304033409
19.05,18.981061039456634,17.681280057461073,46121.085603929867,54029.641966967538,35.459748518302959,1515.6942945720957,1025.787412637872
19.35,19.279851308396577,17.68299410890878,46125.030305600354,54032.093189044994,35.461537579911287,1515.7063602098349,1025.7896829053198
19.650000000000002,19.578641723162193,17.687040449734667,46124.407620389968,54026.2420800792,35.457352128936591,1515.7184725817654,1025.7868022894913
19.95,19.877432558866111,17.683738436239082,46118.556512537471,54023.567524936123,35.45507552645995,1515.7111537258381,1025.7871835502253
20.25,20.176221874539493,17.675300009279908,46120.8297808335,54036.913355974466,35.464289620634652,1515.7018275198873,1025.7976302785421
